Content_type,Router1_type_req,Router2_type_req,Router3_type_req,Router4_type_req,Router5_type_req,Router6_type_req,Router1_total_req,Router2_total_req,Router3_total_req,Router4_total_req,Router5_total_req,Router6_total_req,Request_at_allnode,Popularity
117,60,29,414,77,388,143,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
118,102,53,662,164,1444,536,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
119,1035,808,60,168,1490,561,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
120,42,20,297,46,29,63,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
121,22,10,166,20,1520,19,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
122,164,91,1008,335,238,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
123,1,1,2,1,13,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
124,359,227,137,1115,461,161,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
125,4,2,25,2,270,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
126,1021,795,51,158,1376,500,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
127,1764,1544,987,1317,899,295,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
128,127,68,807,229,2120,992,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
129,75,38,507,106,760,247,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
130,216,125,1281,509,995,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
131,1580,1351,701,910,87,76,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
132,865,651,1289,68,272,116,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
133,54,26,375,66,248,111,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
134,943,722,10,107,769,250,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
135,313,193,69,902,75,74,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
136,316,196,73,915,95,78,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
137,516,350,442,1965,2382,1228,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
138,52,25,363,63,210,103,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
139,706,509,885,18,1431,17,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
140,1439,1205,498,651,1630,22,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
141,713,515,902,19,1499,18,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
142,1829,1614,1095,1483,1275,451,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
143,635,448,714,8,765,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
144,53,25,366,63,219,104,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
145,1935,1729,1275,1775,1948,857,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
146,350,221,123,1071,372,139,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
147,49,23,341,57,140,88,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
148,655,465,761,10,940,8,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
149,140,76,875,263,9,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
150,494,332,395,1834,2083,962,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
151,447,295,298,1569,1474,552,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
152,1850,1637,1130,1539,1405,516,5448787,4304350,4227702,4005980,7914636,1689532,27590987,6
153,39,18,281,42,4,56,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
154,91,46,597,138,1149,394,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
155,218,127,1292,517,1031,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
156,807,599,1140,45,21,61,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
157,40,19,283,43,7,57,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
158,863,649,1283,67,261,114,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
159,788,582,1092,39,2298,49,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
160,1301,1066,320,444,707,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
161,135,73,851,251,2331,1178,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
162,471,313,346,1700,1775,734,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
163,319,197,76,926,111,82,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
164,94,48,614,145,1227,428,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
165,4,2,27,3,291,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
166,1632,1405,780,1017,267,115,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
167,380,243,172,1217,677,221,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
168,49,23,341,57,142,88,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
169,1799,1582,1046,1406,1100,373,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
170,353,222,127,1083,397,145,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
171,42,20,300,47,35,65,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
172,1576,1346,694,901,74,74,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
173,23,10,169,20,1548,20,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
174,62,30,424,80,427,153,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
175,15,7,111,12,1070,10,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
176,282,171,32,767,2131,41,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
177,141,76,881,266,14,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
178,45,21,315,50,69,72,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
179,1238,1004,247,366,363,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
180,431,282,266,1482,1273,450,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
181,259,155,12,673,1727,25,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
182,426,278,256,1452,1206,419,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
183,1319,1084,342,470,820,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
184,1741,1519,950,1262,776,252,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
185,864,650,1286,67,266,115,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
186,104,54,675,170,1503,568,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
187,938,717,9,104,735,239,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
188,1658,1432,820,1072,375,140,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
189,138,74,864,257,1,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
190,1490,1258,570,740,2014,35,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
191,461,305,326,1644,1647,653,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
192,529,360,470,1,33,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
193,737,536,962,25,1749,26,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
194,1347,1112,377,509,995,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
195,1155,923,160,274,32,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
196,444,292,292,1551,1432,530,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
197,1814,1597,1069,1443,1185,409,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
198,816,606,1162,48,48,68,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
199,402,260,212,1330,928,305,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
200,1370,1135,407,543,1148,11,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
201,964,741,19,119,921,303,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
202,1000,775,37,143,1203,418,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
203,1950,1745,1300,1818,2047,933,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
204,1825,1610,1088,1473,1253,440,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
205,1458,1224,524,683,1770,26,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
206,181,102,1098,389,462,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
207,594,414,618,4,431,3,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
208,546,374,508,1,113,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
209,28,13,204,27,1825,28,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
210,359,227,137,1113,457,160,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
211,681,488,826,14,1193,12,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
212,1544,1313,647,839,6,57,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
213,404,261,214,1337,943,311,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
214,1078,849,92,203,1858,791,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
215,1519,1287,611,792,2235,46,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
216,1038,811,62,170,1512,573,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
217,1293,1058,311,435,662,5,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
218,1012,786,45,152,1301,463,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
219,1113,882,122,234,2167,1032,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
220,2,1,15,2,167,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
221,1577,1347,696,903,78,74,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
222,568,392,558,2,243,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
223,446,294,296,1562,1457,543,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
224,13,6,97,10,946,8,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
225,1032,805,57,166,1460,544,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
226,495,333,396,1839,2094,971,5448787,4304350,4227702,4005980,7914636,1689532,27590987,4
227,906,688,1,87,519,176,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
228,945,724,11,108,783,255,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
229,90,46,596,138,1145,392,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
230,1686,1461,863,1134,501,171,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
231,1507,1275,594,771,2145,41,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
232,1591,1362,717,931,119,83,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
233,608,426,651,5,541,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
234,47,22,330,54,110,81,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
235,422,275,249,1433,1162,399,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
236,1959,1755,1315,1844,2105,980,5448787,4304350,4227702,4005980,7914636,1689532,27590987,9
237,104,54,676,170,1509,572,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
238,414,269,234,1392,1069,360,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
239,214,124,1269,500,957,8,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
240,546,374,509,1,115,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
241,1561,1331,673,872,38,65,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
242,403,261,213,1334,937,308,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
243,454,300,311,1605,1557,599,5448787,4304350,4227702,4005980,7914636,1689532,27590987,3
244,1312,1077,333,460,775,6,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
245,282,171,32,766,2126,40,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
246,101,52,656,162,1415,521,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
247,1997,1797,1381,1958,2365,1211,5448787,4304350,4227702,4005980,7914636,1689532,27590987,10
248,56,27,388,69,294,121,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
249,811,601,1148,46,30,63,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
250,775,570,1059,35,2157,42,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
251,1,1,1,1,2,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
252,1,1,1,1,3,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
253,1208,974,214,331,221,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
254,1071,842,87,197,1797,749,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
255,218,127,1292,516,1029,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
256,365,232,147,1143,519,176,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
257,946,725,11,109,792,258,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
258,941,720,9,106,754,245,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
259,95,49,624,149,1272,449,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
260,1408,1174,457,602,1413,16,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
261,1019,793,49,156,1355,490,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
262,1383,1148,424,563,1237,13,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
263,24,11,176,22,1606,21,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
264,19,9,139,16,1305,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
265,1180,946,185,299,108,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
266,808,599,1142,45,23,62,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
267,103,53,668,167,1470,550,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
268,103,53,666,166,1462,546,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
269,18,8,138,16,1290,14,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
270,318,197,75,923,106,81,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
271,1817,1601,1074,1451,1202,417,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
272,1799,1582,1046,1407,1101,373,5448787,4304350,4227702,4005980,7914636,1689532,27590987,5
273,320,198,77,930,117,83,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
274,158,87,975,317,168,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
275,972,749,23,125,987,327,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
276,175,98,1065,369,376,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
277,1219,985,226,343,270,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
278,1240,1006,250,368,374,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
279,373,238,160,1182,603,199,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
280,173,96,1054,362,347,2,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
281,86,43,569,128,1025,342,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
282,1,1,7,1,80,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
283,84,42,558,124,980,325,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
284,1935,1729,1274,1774,1946,855,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
285,132,70,830,240,2229,1086,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
286,1354,1119,386,519,1041,9,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
287,45,21,320,51,82,75,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
288,333,208,96,990,218,104,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
289,738,537,966,25,1764,26,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
290,72,36,489,100,684,223,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
291,1382,1147,422,561,1229,12,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
292,59,29,405,74,356,135,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
293,1953,1749,1306,1827,2068,949,5448787,4304350,4227702,4005980,7914636,1689532,27590987,8
294,145,79,904,278,43,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
295,121,64,772,213,1956,862,5448787,4304350,4227702,4005980,7914636,1689532,27590987,2
296,27,12,198,26,1780,27,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
297,108,56,696,179,1602,625,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
298,821,611,1175,50,65,72,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
299,983,759,28,132,1068,360,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
300,1274,1040,289,410,555,4,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
301,984,760,28,132,1073,362,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
302,1146,914,152,265,13,1,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
303,911,693,2,89,551,185,5448787,4304350,4227702,4005980,7914636,1689532,27590987,1
